ID,IC50_nM
TEST_000,235.84861668338814
TEST_001,36.31616662075009
TEST_002,18.650908866069248
TEST_003,20.118703951494137
TEST_004,24.03255804933208
TEST_005,9.525767998554588
TEST_006,26.1938900372145
TEST_007,23.867119083399327
TEST_008,37.82683455893865
TEST_009,199.6717694900909
TEST_010,223.12933272449305
TEST_011,13.717237771570492
TEST_012,25.333780303853224
TEST_013,254.03876923166797
TEST_014,37.21345560038669
TEST_015,42.22795013060507
TEST_016,31.263193117903725
TEST_017,42.48151535146421
TEST_018,19.556899320289055
TEST_019,38.61298117828039
TEST_020,19.350847929378993
TEST_021,30.220385498282393
TEST_022,136.94620444600804
TEST_023,9.109614522659179
TEST_024,19.556899320289133
TEST_025,16.617537468159178
TEST_026,9.758880500302885
TEST_027,37.80941866832922
TEST_028,11.199535223848832
TEST_029,15.392175269524497
TEST_030,10.72753647835534
TEST_031,13.957254577067646
TEST_032,27.189423544022006
TEST_033,86.21840810726961
TEST_034,45.64571349614053
TEST_035,17.770514423145393
TEST_036,47.76392414964225
TEST_037,103.46655758424396
TEST_038,19.480495532907455
TEST_039,21.597326806893612
TEST_040,18.741312399767438
TEST_041,21.668723772305597
TEST_042,15.22532832369749
TEST_043,19.350847929378993
TEST_044,34.82571166386522
TEST_045,6.348922123377033
TEST_046,65.31155139338694
TEST_047,104.4199145151147
TEST_048,134.70177957872156
TEST_049,14.242951649732875
TEST_050,46.07160407360036
TEST_051,22.935066304475768
TEST_052,49.07948534495508
TEST_053,9.038575706601744
TEST_054,39.46389982098635
TEST_055,13.384433676499071
TEST_056,136.3975805148319
TEST_057,45.77201167050908
TEST_058,35.1911397982398
TEST_059,54.0505353708669
TEST_060,128.67870057885816
TEST_061,19.635109760894434
TEST_062,12.557407854019516
TEST_063,37.783309865888235
TEST_064,42.96848090140917
TEST_065,13.642689658817032
TEST_066,31.16735875445261
TEST_067,45.81418867145312
TEST_068,27.761952064210195
TEST_069,36.31616662075009
TEST_070,20.035491464007514
TEST_071,143.26276647108725
TEST_072,9.486368698664691
TEST_073,39.345946763408044
TEST_074,17.89369374445307
TEST_075,46.56933110261977
TEST_076,19.79247021237563
TEST_077,10.646331870513157
TEST_078,19.06777418316411
TEST_079,50.48937562011534
TEST_080,22.594357702209457
TEST_081,24.5448283905012
TEST_082,35.55494408585889
TEST_083,9.486368698664691
TEST_084,44.22827487168809
TEST_085,43.51610339743948
TEST_086,24.121260560925478
TEST_087,53.1985750917065
TEST_088,103.03228543380864
TEST_089,36.135438843337866
TEST_090,31.922728184621356
TEST_091,50.903776101136295
TEST_092,15.363847933315842
TEST_093,40.11437222087626
TEST_094,29.723503619120205
TEST_095,161.98445287202355
TEST_096,42.96848090140917
TEST_097,39.3731353700845
TEST_098,84.28170900326386
TEST_099,23.270193788481663
TEST_100,9.040657155196596
TEST_101,21.359938601897742
TEST_102,139.4547570245483
TEST_103,23.436890988269987
TEST_104,48.21142852470273
TEST_105,126.35914152188245
TEST_106,54.689002231379284
TEST_107,40.15133594288252
TEST_108,33.62791956867811
TEST_109,129.8593824773574
TEST_110,19.350847929378993
TEST_111,22.580488512315906
TEST_112,25.34544962758342
