ID,IC50_nM
TEST_000,299.2264636608183
TEST_001,57.345586654596296
TEST_002,44.54510633598953
TEST_003,31.68108159328037
TEST_004,28.047877373491904
TEST_005,22.315159738717533
TEST_006,25.8761702571241
TEST_007,26.822546076084862
TEST_008,62.829254229898424
TEST_009,225.4412238045985
TEST_010,191.98472085804525
TEST_011,11.062719600715281
TEST_012,32.3742711634235
TEST_013,273.9050251286863
TEST_014,50.50487881097563
TEST_015,49.18129952683033
TEST_016,41.35550546529756
TEST_017,23.574907641821547
TEST_018,38.815036599064626
TEST_019,46.476491233256894
TEST_020,44.11639331769103
TEST_021,52.897279065274965
TEST_022,145.8142606147466
TEST_023,28.294368148721016
TEST_024,36.66063642494684
TEST_025,19.502936197623047
TEST_026,25.638936102242997
TEST_027,54.43772909066471
TEST_028,33.35799966620482
TEST_029,24.94594726942951
TEST_030,30.00544002443063
TEST_031,32.5012451886182
TEST_032,24.575366312150226
TEST_033,77.61577530210145
TEST_034,94.05892264269973
TEST_035,31.361729165129645
TEST_036,82.73704390165817
TEST_037,118.98713291600403
TEST_038,24.165734514368253
TEST_039,28.880186935140454
TEST_040,33.71320178728414
TEST_041,40.33047465714562
TEST_042,28.87353779188884
TEST_043,44.11639331769103
TEST_044,57.19174311071664
TEST_045,23.22202028014702
TEST_046,102.85687686935378
TEST_047,126.22149894336181
TEST_048,171.96233490373265
TEST_049,30.04692272040933
TEST_050,54.663822813341746
TEST_051,31.944787242086818
TEST_052,49.130366061865956
TEST_053,21.852443196532676
TEST_054,45.82473899284574
TEST_055,35.4895097442303
TEST_056,117.21053996815844
TEST_057,89.68090867156047
TEST_058,32.971092163419385
TEST_059,48.90275578582575
TEST_060,152.05183534284484
TEST_061,24.266100950824043
TEST_062,28.727643320808177
TEST_063,64.13572375458574
TEST_064,66.56306834496368
TEST_065,32.51621601204821
TEST_066,85.76465270671676
TEST_067,42.26037372151947
TEST_068,35.131767503728405
TEST_069,50.60576565132435
TEST_070,45.51976381484186
TEST_071,146.41986429352787
TEST_072,16.512012168506264
TEST_073,87.9629933844228
TEST_074,43.4410186012833
TEST_075,47.13027784024212
TEST_076,25.775078699705375
TEST_077,21.627185237270158
TEST_078,38.69011316551064
TEST_079,54.20424921038134
TEST_080,25.02649325731057
TEST_081,22.853356792356895
TEST_082,53.80219571891127
TEST_083,19.529899120756763
TEST_084,64.61003852547132
TEST_085,44.94002744761668
TEST_086,50.11872336272673
TEST_087,55.42852647170522
TEST_088,162.72651866293768
TEST_089,47.471541383919615
TEST_090,48.659390717733295
TEST_091,72.24924836557298
TEST_092,21.547654333634547
TEST_093,60.176728187630864
TEST_094,34.530272050563774
TEST_095,153.30571088771268
TEST_096,66.56306834496368
TEST_097,66.82852946639115
TEST_098,64.69439661186453
TEST_099,50.226548300346856
TEST_100,22.65165821254586
TEST_101,26.503302897270935
TEST_102,132.55618607198585
TEST_103,45.99740523473802
TEST_104,93.91464762410517
TEST_105,159.40122941775408
TEST_106,75.9276572646527
TEST_107,73.49368100487531
TEST_108,49.66304377823068
TEST_109,172.18355357287072
TEST_110,44.11639331769103
TEST_111,30.04231070131433
TEST_112,34.46672348717878
